Stazione,IQA,PM10µg/m³,PM2.5µg/m³,NO2µg/m³,COmg/m³,SO2µg/m³,O3µg/m³,O3*µg/m³,C6H6µg/m³,CO2ppm,Date
MontesilvanoMontesilvano (PE),Scadente,36,26,41,1.12,--,--,--,2.3,--,2022-12-03
Ortona Villa CaldariOrtona (CH),Mediocre,24,22,33,0.81,--,48,46,1.8,--,2022-12-03
Porta RealeTeramo (TE),Mediocre,44,--,58,1.03,--,--,--,2.2,--,2022-12-03
S. GregorioS. GREGORIO (AQ),Buona,--,--,34,--,--,34,27,2.1,--,2022-12-03
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Buona,--,--,2,--,--,67,57,0.0,411.4,2022-12-03
Scuola AntonelliChieti Scalo (CH),Scadente,34,29,36,--,2,31,20,1.4,--,2022-12-03
T. D'AnnunzioPescara (PE),Scadente,32,26,53,0.75,0,30,13,n.d.,--,2022-12-03
Via AmiternumL'Aquila (AQ),Mediocre,30,24,54,--,n.d.,30,17,1.5,--,2022-12-03
Via FirenzePescara (PE),Scadente,36,31,46,1.07,--,--,--,1.9,--,2022-12-03
Via SaccoPescara (PE),Mediocre,41,--,55,--,--,33,20,--,--,2022-12-03
ArischiaL'Aquila (AQ),Buona,--,--,6,--,--,41,35,0.7,--,2022-12-02
AtessaAtessa (CH),Accettabile,24,--,--,n.d.,--,--,--,1.1,--,2022-12-02
Castel Di SangroCastel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2022-12-02
Cepagatti ASLCepagatti (PE),Buona,--,--,19,--,--,48,38,0.9,--,2022-12-02
FrancavillaFrancavilla al mare (CH),Accettabile,17,12,39,--,--,36,31,1.2,--,2022-12-02
GammaranaTeramo (TE),Accettabile,--,17,35,--,--,--,--,--,--,2022-12-02
MontesilvanoMontesilvano (PE),Accettabile,21,15,39,0.82,--,--,--,1.5,--,2022-12-02
Ortona Villa CaldariOrtona (CH),Accettabile,17,14,25,0.75,--,47,43,1.4,--,2022-12-02
Porta RealeTeramo (TE),Accettabile,31,--,48,0.95,--,--,--,2.1,--,2022-12-02
S. GregorioS. GREGORIO (AQ),Buona,--,--,25,--,--,60,50,1.4,--,2022-12-02
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Buona,--,--,4,--,--,73,67,0.0,403.8,2022-12-02
Scuola AntonelliChieti Scalo (CH),Mediocre,27,21,40,--,1,47,30,n.d.,--,2022-12-02
T. D'AnnunzioPescara (PE),Accettabile,21,14,47,0.61,0,36,25,n.d.,--,2022-12-02
Via AmiternumL'Aquila (AQ),Accettabile,19,15,46,--,n.d.,54,44,1.1,--,2022-12-02
Via FirenzePescara (PE),Accettabile,25,17,35,0.98,--,--,--,1.5,--,2022-12-02
Via SaccoPescara (PE),Accettabile,31,--,40,--,--,34,24,--,--,2022-12-02
ArischiaL'Aquila (AQ),Buona,--,--,3,--,--,50,42,0.5,--,2022-12-01
AtessaAtessa (CH),Buona,11,--,--,n.d.,--,--,--,0.6,--,2022-12-01
Castel Di SangroCastel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2022-12-01
Cepagatti ASLCepagatti (PE),Buona,--,--,12,--,--,54,49,0.6,--,2022-12-01
FrancavillaFrancavilla al mare (CH),Accettabile,16,12,31,--,--,44,39,0.9,--,2022-12-01
GammaranaTeramo (TE),Mediocre,--,21,34,--,--,--,--,--,--,2022-12-01
MontesilvanoMontesilvano (PE),Accettabile,15,11,36,0.64,--,--,--,1.0,--,2022-12-01
Ortona Villa CaldariOrtona (CH),Accettabile,15,12,11,0.82,--,56,53,1.0,--,2022-12-01
Porta RealeTeramo (TE),Accettabile,23,--,52,1.06,--,--,--,2.0,--,2022-12-01
S. GregorioS. GREGORIO (AQ),Buona,--,--,10,--,--,72,68,0.9,--,2022-12-01
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Buona,--,--,2,--,--,74,72,0.0,397.3,2022-12-01
Scuola AntonelliChieti Scalo (CH),Mediocre,25,23,42,--,1,45,35,n.d.,--,2022-12-01
T. D'AnnunzioPescara (PE),Accettabile,15,11,44,0.40,0,44,34,n.d.,--,2022-12-01
Via AmiternumL'Aquila (AQ),Buona,12,10,37,--,n.d.,70,58,0.6,--,2022-12-01
Via FirenzePescara (PE),Accettabile,18,13,34,0.67,--,--,--,1.0,--,2022-12-01
Via SaccoPescara (PE),Accettabile,22,--,36,--,--,49,42,--,--,2022-12-01
ArischiaL'Aquila (AQ),Buona,--,--,7,--,--,49,43,0.5,--,2022-11-30
AtessaAtessa (CH),Buona,20,--,--,n.d.,--,--,--,0.8,--,2022-11-30
Castel Di SangroCastel Di Sangro (AQ),Buona,11,10,22,1.33,--,61,50,--,--,2022-11-30
Cepagatti ASLCepagatti (PE),Buona,--,--,13,--,--,54,48,0.1,--,2022-11-30
FrancavillaFrancavilla al mare (CH),Accettabile,n.d.,n.d.,41,--,--,59,49,0.6,--,2022-11-30
GammaranaTeramo (TE),Accettabile,--,16,41,--,--,--,--,--,--,2022-11-30
MontesilvanoMontesilvano (PE),Accettabile,20,13,38,0.89,--,--,--,1.0,--,2022-11-30
Ortona Villa CaldariOrtona (CH),Accettabile,18,14,31,0.95,--,67,61,1.2,--,2022-11-30
Porta RealeTeramo (TE),Accettabile,25,--,60,0.80,--,--,--,1.3,--,2022-11-30
S. GregorioS. GREGORIO (AQ),Buona,--,--,20,--,--,70,61,1.3,--,2022-11-30
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,3,--,--,83,78,0.0,401.1,2022-11-30
Scuola AntonelliChieti Scalo (CH),Accettabile,26,20,42,--,2,52,41,n.d.,--,2022-11-30
T. D'AnnunzioPescara (PE),Accettabile,23,17,58,0.91,0,61,49,n.d.,--,2022-11-30
Via AmiternumL'Aquila (AQ),Accettabile,18,13,52,--,n.d.,66,58,0.9,--,2022-11-30
Via FirenzePescara (PE),Buona,n.d.,n.d.,40,0.92,--,--,--,0.9,--,2022-11-30
Via SaccoPescara (PE),Accettabile,25,--,36,--,--,58,45,--,--,2022-11-30
ArischiaL'Aquila (AQ),Buona,--,--,13,--,--,25,30,0.4,--,2022-11-29
AtessaAtessa (CH),Buona,17,--,--,n.d.,--,--,--,0.7,--,2022-11-29
Castel Di SangroCastel Di Sangro (AQ),Buona,11,7,20,1.26,--,64,54,--,--,2022-11-29
Cepagatti ASLCepagatti (PE),Buona,--,--,20,--,--,65,56,0.1,--,2022-11-29
FrancavillaFrancavilla al mare (CH),Buona,n.d.,n.d.,40,--,--,61,46,0.6,--,2022-11-29
GammaranaTeramo (TE),Accettabile,--,15,47,--,--,--,--,--,--,2022-11-29
MontesilvanoMontesilvano (PE),Accettabile,n.d.,n.d.,51,0.87,--,--,--,1.3,--,2022-11-29
Ortona Villa CaldariOrtona (CH),Accettabile,18,14,30,0.93,--,70,64,1.0,--,2022-11-29
Porta RealeTeramo (TE),Accettabile,20,--,62,0.83,--,--,--,1.3,--,2022-11-29
S. GregorioS. GREGORIO (AQ),Buona,--,--,34,--,--,57,41,1.2,--,2022-11-29
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Buona,--,--,2,--,--,79,73,0.0,405.0,2022-11-29
Scuola AntonelliChieti Scalo (CH),Mediocre,28,23,45,--,2,65,46,n.d.,--,2022-11-29
T. D'AnnunzioPescara (PE),Accettabile,n.d.,n.d.,65,0.79,0,56,35,n.d.,--,2022-11-29
Via AmiternumL'Aquila (AQ),Accettabile,20,14,54,--,n.d.,43,33,1.0,--,2022-11-29
Via FirenzePescara (PE),Accettabile,27,19,66,1.23,--,--,--,1.3,--,2022-11-29
Via SaccoPescara (PE),Accettabile,27,--,57,--,--,62,41,--,--,2022-11-29
ArischiaL'Aquila (AQ),Buona,--,--,4,--,--,50,48,0.3,--,2022-11-28
AtessaAtessa (CH),Buona,12,--,--,n.d.,--,--,--,0.3,--,2022-11-28
Castel Di SangroCastel Di Sangro (AQ),Buona,7,5,15,1.24,--,71,69,--,--,2022-11-28
Cepagatti ASLCepagatti (PE),Buona,--,--,8,--,--,62,57,0.0,--,2022-11-28
FrancavillaFrancavilla al mare (CH),Buona,n.d.,n.d.,26,--,--,61,53,0.5,--,2022-11-28
GammaranaTeramo (TE),Accettabile,--,14,32,--,--,--,--,--,--,2022-11-28
MontesilvanoMontesilvano (PE),Buona,17,10,32,0.70,--,--,--,0.8,--,2022-11-28
Ortona Villa CaldariOrtona (CH),Buona,10,7,8,0.66,--,70,64,0.6,--,2022-11-28
Porta RealeTeramo (TE),Accettabile,19,--,57,0.72,--,--,--,1.1,--,2022-11-28
S. GregorioS. GREGORIO (AQ),Buona,--,--,16,--,--,68,66,0.5,--,2022-11-28
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,86,86,0.0,395.2,2022-11-28
Scuola AntonelliChieti Scalo (CH),Accettabile,22,19,43,--,0,65,51,n.d.,--,2022-11-28
T. D'AnnunzioPescara (PE),Accettabile,21,13,56,0.53,0,58,48,n.d.,--,2022-11-28
Via AmiternumL'Aquila (AQ),Accettabile,10,6,41,--,n.d.,75,71,0.4,--,2022-11-28
Via FirenzePescara (PE),Accettabile,20,13,40,1.32,--,--,--,0.8,--,2022-11-28
Via SaccoPescara (PE),Accettabile,24,--,50,--,--,59,51,--,--,2022-11-28
ArischiaL'Aquila (AQ),Buona,--,--,4,--,--,68,56,0.2,--,2022-11-27
AtessaAtessa (CH),Buona,18,--,--,n.d.,--,--,--,0.5,--,2022-11-27
Castel Di SangroCastel Di Sangro (AQ),Buona,5,3,15,1.47,--,72,69,--,--,2022-11-27
Cepagatti ASLCepagatti (PE),Buona,--,--,7,--,--,69,63,0.4,--,2022-11-27
FrancavillaFrancavilla al mare (CH),Buona,n.d.,n.d.,20,--,--,52,44,0.5,--,2022-11-27
GammaranaTeramo (TE),Accettabile,--,20,34,--,--,--,--,--,--,2022-11-27
MontesilvanoMontesilvano (PE),Accettabile,19,16,31,0.98,--,--,--,1.2,--,2022-11-27
Ortona Villa CaldariOrtona (CH),Accettabile,10,9,12,0.81,--,85,78,0.8,--,2022-11-27
Porta RealeTeramo (TE),Accettabile,34,--,55,0.80,--,--,--,1.2,--,2022-11-27
S. GregorioS. GREGORIO (AQ),Buona,--,--,26,--,--,66,62,0.7,--,2022-11-27
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,88,86,0.0,394.0,2022-11-27
Scuola AntonelliChieti Scalo (CH),Accettabile,20,19,37,--,1,61,46,n.d.,--,2022-11-27
T. D'AnnunzioPescara (PE),Accettabile,23,19,57,0.82,0,37,29,n.d.,--,2022-11-27
Via AmiternumL'Aquila (AQ),Buona,8,5,31,--,n.d.,78,73,0.6,--,2022-11-27
Via FirenzePescara (PE),Accettabile,24,19,49,1.86,--,--,--,1.1,--,2022-11-27
Via SaccoPescara (PE),Accettabile,24,--,45,--,--,48,41,--,--,2022-11-27
ArischiaL'Aquila (AQ),Buona,--,--,15,--,--,27,19,0.4,--,2022-11-26
AtessaAtessa (CH),Accettabile,30,--,--,n.d.,--,--,--,0.8,--,2022-11-26
Castel Di SangroCastel Di Sangro (AQ),Accettabile,23,15,45,1.58,--,63,39,--,--,2022-11-26
Cepagatti ASLCepagatti (PE),Buona,--,--,23,--,--,65,48,0.5,--,2022-11-26
FrancavillaFrancavilla al mare (CH),Buona,n.d.,n.d.,35,--,--,46,29,0.7,--,2022-11-26
GammaranaTeramo (TE),Accettabile,--,14,49,--,--,--,--,--,--,2022-11-26
MontesilvanoMontesilvano (PE),Accettabile,28,17,51,0.96,--,--,--,1.5,--,2022-11-26
Ortona Villa CaldariOrtona (CH),Accettabile,14,11,36,0.80,--,71,68,0.7,--,2022-11-26
Porta RealeTeramo (TE),Accettabile,32,--,72,0.90,--,--,--,1.7,--,2022-11-26
S. GregorioS. GREGORIO (AQ),Buona,--,--,36,--,--,53,30,1.4,--,2022-11-26
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,92,82,0.0,406.8,2022-11-26
Scuola AntonelliChieti Scalo (CH),Mediocre,30,23,51,--,2,55,33,n.d.,--,2022-11-26
T. D'AnnunzioPescara (PE),Accettabile,28,20,66,0.85,0,43,27,n.d.,--,2022-11-26
Via AmiternumL'Aquila (AQ),Accettabile,24,16,50,--,n.d.,46,22,1.2,--,2022-11-26
Via FirenzePescara (PE),Mediocre,31,21,74,1.89,--,--,--,1.8,--,2022-11-26
Via SaccoPescara (PE),Accettabile,31,--,61,--,--,51,31,--,--,2022-11-26
ArischiaL'Aquila (AQ),Buona,--,--,13,--,--,23,20,0.4,--,2022-11-25
AtessaAtessa (CH),Accettabile,22,--,--,n.d.,--,--,--,0.6,--,2022-11-25
Castel Di SangroCastel Di Sangro (AQ),Accettabile,18,12,33,1.66,--,48,n.d.,--,--,2022-11-25
Cepagatti ASLCepagatti (PE),Buona,--,--,19,--,--,55,46,0.5,--,2022-11-25
FrancavillaFrancavilla al mare (CH),Accettabile,n.d.,n.d.,41,--,--,54,32,0.6,--,2022-11-25
GammaranaTeramo (TE),Accettabile,--,14,46,--,--,--,--,--,--,2022-11-25
MontesilvanoMontesilvano (PE),Accettabile,28,17,44,0.91,--,--,--,1.5,--,2022-11-25
Ortona Villa CaldariOrtona (CH),Buona,13,10,30,0.77,--,63,58,0.8,--,2022-11-25
Porta RealeTeramo (TE),Accettabile,29,--,63,0.77,--,--,--,1.4,--,2022-11-25
S. GregorioS. GREGORIO (AQ),Buona,--,--,32,--,--,49,31,1.6,--,2022-11-25
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Buona,--,--,2,--,--,77,69,0.0,401.9,2022-11-25
Scuola AntonelliChieti Scalo (CH),Mediocre,28,23,42,--,1,60,37,n.d.,--,2022-11-25
T. D'AnnunzioPescara (PE),Accettabile,25,18,60,0.72,0,51,26,0.6,--,2022-11-25
Via AmiternumL'Aquila (AQ),Accettabile,19,14,41,--,n.d.,61,34,1.1,--,2022-11-25
Via FirenzePescara (PE),Accettabile,28,18,55,1.47,--,--,--,1.3,--,2022-11-25
Via SaccoPescara (PE),Accettabile,30,--,56,--,--,50,30,--,--,2022-11-25
ArischiaL'Aquila (AQ),Buona,--,--,5,--,--,52,44,0.3,--,2022-11-24
AtessaAtessa (CH),Buona,11,--,--,n.d.,--,--,--,0.4,--,2022-11-24
Castel Di SangroCastel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2022-11-24
Cepagatti ASLCepagatti (PE),Buona,--,--,13,--,--,61,62,0.4,--,2022-11-24
FrancavillaFrancavilla al mare (CH),Buona,n.d.,n.d.,38,--,--,62,61,0.5,--,2022-11-24
GammaranaTeramo (TE),Accettabile,--,9,46,--,--,--,--,--,--,2022-11-24
MontesilvanoMontesilvano (PE),Buona,17,8,33,0.58,--,--,--,0.8,--,2022-11-24
Ortona Villa CaldariOrtona (CH),Buona,9,6,25,0.71,--,71,72,0.6,--,2022-11-24
Porta RealeTeramo (TE),Accettabile,20,--,64,0.63,--,--,--,1.1,--,2022-11-24
S. GregorioS. GREGORIO (AQ),Buona,--,--,35,--,--,69,64,0.6,--,2022-11-24
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,85,80,0.0,395.2,2022-11-24
Scuola AntonelliChieti Scalo (CH),Accettabile,14,12,47,--,1,66,65,0.1,--,2022-11-24
T. D'AnnunzioPescara (PE),Accettabile,13,8,67,0.51,0,66,60,0.2,--,2022-11-24
Via AmiternumL'Aquila (AQ),Accettabile,13,9,56,--,n.d.,70,65,0.6,--,2022-11-24
Via FirenzePescara (PE),Accettabile,16,8,50,1.19,--,--,--,0.8,--,2022-11-24
Via SaccoPescara (PE),Accettabile,14,--,58,--,--,61,61,--,--,2022-11-24
ArischiaL'Aquila (AQ),Buona,--,--,5,--,--,47,44,0.2,--,2022-11-23
AtessaAtessa (CH),Buona,6,--,--,n.d.,--,--,--,0.5,--,2022-11-23
Castel Di SangroCastel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2022-11-23
Cepagatti ASLCepagatti (PE),Buona,--,--,10,--,--,70,64,0.1,--,2022-11-23
FrancavillaFrancavilla al mare (CH),Buona,n.d.,n.d.,26,--,--,63,60,0.3,--,2022-11-23
GammaranaTeramo (TE),Buona,--,4,33,--,--,--,--,--,--,2022-11-23
MontesilvanoMontesilvano (PE),Buona,8,6,33,0.99,--,--,--,0.6,--,2022-11-23
Ortona Villa CaldariOrtona (CH),Buona,7,4,10,0.58,--,77,73,0.3,--,2022-11-23
Porta RealeTeramo (TE),Accettabile,7,--,58,0.73,--,--,--,0.8,--,2022-11-23
S. GregorioS. GREGORIO (AQ),Buona,--,--,16,--,--,52,50,0.5,--,2022-11-23
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,93,87,0.0,387.1,2022-11-23
Scuola AntonelliChieti Scalo (CH),Accettabile,6,6,43,--,0,68,63,0.3,--,2022-11-23
T. D'AnnunzioPescara (PE),Accettabile,6,3,57,0.28,0,65,62,0.1,--,2022-11-23
Via AmiternumL'Aquila (AQ),Buona,4,3,35,--,n.d.,60,57,0.3,--,2022-11-23
Via FirenzePescara (PE),Accettabile,9,5,50,1.09,--,--,--,0.5,--,2022-11-23
Via SaccoPescara (PE),Accettabile,9,--,44,--,--,67,59,--,--,2022-11-23
ArischiaL'Aquila (AQ),Buona,--,--,13,--,--,50,41,0.3,--,2022-11-22
AtessaAtessa (CH),Buona,16,--,--,n.d.,--,--,--,0.5,--,2022-11-22
Castel Di SangroCastel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2022-11-22
Cepagatti ASLCepagatti (PE),Buona,--,--,5,--,--,70,67,0.1,--,2022-11-22
FrancavillaFrancavilla al mare (CH),Buona,10,7,28,--,--,63,56,0.5,--,2022-11-22
GammaranaTeramo (TE),Accettabile,--,16,44,--,--,--,--,--,--,2022-11-22
MontesilvanoMontesilvano (PE),n.d.,n.d.,n.d.,n.d.,n.d.,--,--,--,n.d.,--,2022-11-22
Ortona Villa CaldariOrtona (CH),Buona,7,6,27,0.57,--,75,68,0.4,--,2022-11-22
Porta RealeTeramo (TE),Accettabile,27,--,65,0.77,--,--,--,1.3,--,2022-11-22
S. GregorioS. GREGORIO (AQ),Accettabile,--,--,44,--,--,70,55,0.9,--,2022-11-22
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,89,85,0.0,396.8,2022-11-22
Scuola AntonelliChieti Scalo (CH),Buona,7,4,31,--,1,67,62,0.3,--,2022-11-22
T. D'AnnunzioPescara (PE),Accettabile,10,6,58,0.36,0,66,56,0.1,--,2022-11-22
Via AmiternumL'Aquila (AQ),Accettabile,13,8,64,--,n.d.,66,44,0.6,--,2022-11-22
Via FirenzePescara (PE),Accettabile,12,7,45,1.07,--,--,--,0.8,--,2022-11-22
Via SaccoPescara (PE),Accettabile,16,--,50,--,--,59,54,--,--,2022-11-22
ArischiaL'Aquila (AQ),Buona,--,--,5,--,--,38,36,0.3,--,2022-11-21
AtessaAtessa (CH),Buona,6,--,--,n.d.,--,--,--,0.5,--,2022-11-21
Castel Di SangroCastel Di Sangro (AQ),n.d.,n.d.,n.d.,n.d.,n.d.,--,n.d.,n.d.,--,--,2022-11-21
Cepagatti ASLCepagatti (PE),Buona,--,--,7,--,--,45,37,0.5,--,2022-11-21
FrancavillaFrancavilla al mare (CH),Buona,6,4,11,--,--,59,56,0.3,--,2022-11-21
GammaranaTeramo (TE),Buona,--,10,27,--,--,--,--,--,--,2022-11-21
MontesilvanoMontesilvano (PE),n.d.,n.d.,n.d.,n.d.,n.d.,--,--,--,n.d.,--,2022-11-21
Ortona Villa CaldariOrtona (CH),Buona,6,4,10,0.69,--,69,64,0.4,--,2022-11-21
Porta RealeTeramo (TE),Accettabile,22,--,40,0.79,--,--,--,1.4,--,2022-11-21
S. GregorioS. GREGORIO (AQ),Buona,--,--,13,--,--,53,50,0.5,--,2022-11-21
Sant'Eufemia a Maiella P.N.MS.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,86,83,0.0,398.3,2022-11-21
Scuola AntonelliChieti Scalo (CH),Accettabile,16,13,34,--,0,51,32,0.5,--,2022-11-21
T. D'AnnunzioPescara (PE),Buona,9,4,35,0.54,0,58,55,0.1,--,2022-11-21
Via AmiternumL'Aquila (AQ),Buona,6,3,32,--,n.d.,74,66,0.4,--,2022-11-21
Via FirenzePescara (PE),Buona,9,4,16,1.28,--,--,--,0.4,--,2022-11-21
Via SaccoPescara (PE),Buona,10,--,20,--,--,59,53,--,--,2022-11-21
