Stazione,IQA,PM10µg/m³,PM2.5µg/m³,NO2µg/m³,COmg/m³,SO2µg/m³,O3µg/m³,O3*µg/m³,C6H6µg/m³,CO2ppm,Date
Atessa Atessa (CH),Accettabile,35,--,--,0.74,--,--,--,0.1,--,2024-02-19
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,22,19,29,0.83,--,97,85,--,--,2024-02-19
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,16,--,--,109,95,1.1,--,2024-02-19
Francavilla Francavilla al mare (CH),Scadente,43,38,32,--,--,104,95,1.1,--,2024-02-19
Gammarana Teramo (TE),Buona,--,n.d.,40,--,--,--,--,--,--,2024-02-19
Montesilvano Montesilvano (PE),Scadente,42,37,37,0.69,--,--,--,1.2,--,2024-02-19
Ortona Villa Caldari Ortona (CH),Scadente,37,33,21,0.70,--,114,102,1.3,--,2024-02-19
Porta Reale Teramo (TE),Accettabile,32,--,77,1.21,--,--,--,1.2,--,2024-02-19
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,21,--,--,107,100,1.3,--,2024-02-19
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,112,105,0.1,422.0,2024-02-19
Scuola Antonelli Chieti Scalo (CH),Scadente,53,37,56,--,1,113,98,1.6,--,2024-02-19
T. D'Annunzio Pescara (PE),Scadente,51,43,56,1.19,0,97,86,0.4,--,2024-02-19
Via Amiternum L'Aquila (AQ),Accettabile,21,16,49,--,2,102,92,0.9,--,2024-02-19
Via Firenze Pescara (PE),Scadente,49,42,65,0.85,--,--,--,0.6,--,2024-02-19
Via Sacco Pescara (PE),Scadente,54,--,55,--,--,112,99,--,--,2024-02-19
Arischia L'Aquila (AQ),Accettabile,--,--,7,--,--,97,89,0.3,--,2024-02-18
Atessa Atessa (CH),Accettabile,30,--,--,0.75,--,--,--,0.1,--,2024-02-18
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,19,17,39,0.82,--,87,82,--,--,2024-02-18
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,21,--,--,83,71,1.5,--,2024-02-18
Francavilla Francavilla al mare (CH),Scadente,33,28,28,--,--,88,80,1.0,--,2024-02-18
Gammarana Teramo (TE),Accettabile,--,n.d.,53,--,--,--,--,--,--,2024-02-18
Montesilvano Montesilvano (PE),Scadente,35,27,42,0.58,--,--,--,1.2,--,2024-02-18
Ortona Villa Caldari Ortona (CH),Mediocre,28,23,43,0.66,--,89,81,1.5,--,2024-02-18
Porta Reale Teramo (TE),Mediocre,45,--,81,1.17,--,--,--,1.7,--,2024-02-18
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,31,--,--,101,94,1.1,--,2024-02-18
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,4,--,--,96,88,0.1,424.3,2024-02-18
Scuola Antonelli Chieti Scalo (CH),Scadente,39,33,57,--,1,90,67,1.5,--,2024-02-18
T. D'Annunzio Pescara (PE),Scadente,41,32,53,1.02,0,78,67,0.3,--,2024-02-18
Via Amiternum L'Aquila (AQ),Accettabile,19,14,49,--,2,93,82,0.8,--,2024-02-18
Via Firenze Pescara (PE),Scadente,41,35,71,0.75,--,--,--,0.6,--,2024-02-18
Via Sacco Pescara (PE),Mediocre,43,--,68,--,--,89,75,--,--,2024-02-18
Arischia L'Aquila (AQ),Accettabile,--,--,8,--,--,93,77,0.3,--,2024-02-17
Atessa Atessa (CH),Accettabile,29,--,--,0.82,--,--,--,0.1,--,2024-02-17
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,18,14,44,0.75,--,88,75,--,--,2024-02-17
Cepagatti ASL Cepagatti (PE),Buona,--,--,21,--,--,76,66,1.2,--,2024-02-17
Francavilla Francavilla al mare (CH),Mediocre,27,23,31,--,--,75,63,0.9,--,2024-02-17
Gammarana Teramo (TE),Accettabile,--,n.d.,52,--,--,--,--,--,--,2024-02-17
Montesilvano Montesilvano (PE),Accettabile,n.d.,n.d.,56,1.29,--,--,--,0.9,--,2024-02-17
Ortona Villa Caldari Ortona (CH),Accettabile,22,17,39,0.55,--,92,77,1.1,--,2024-02-17
Porta Reale Teramo (TE),Mediocre,47,--,81,1.09,--,--,--,1.6,--,2024-02-17
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,39,--,--,91,73,1.5,--,2024-02-17
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,3,--,--,94,88,0.0,418.8,2024-02-17
Scuola Antonelli Chieti Scalo (CH),Scadente,33,30,58,--,2,74,57,1.6,--,2024-02-17
T. D'Annunzio Pescara (PE),Scadente,36,30,51,1.12,0,66,56,0.4,--,2024-02-17
Via Amiternum L'Aquila (AQ),Accettabile,21,13,57,--,2,69,54,1.0,--,2024-02-17
Via Firenze Pescara (PE),Scadente,34,28,71,0.75,--,--,--,0.5,--,2024-02-17
Via Sacco Pescara (PE),Mediocre,39,--,69,--,--,74,69,--,--,2024-02-17
Arischia L'Aquila (AQ),Accettabile,--,--,12,--,--,89,77,0.3,--,2024-02-16
Atessa Atessa (CH),Accettabile,26,--,--,0.75,--,--,--,0.2,--,2024-02-16
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,14,11,45,0.68,--,85,78,--,--,2024-02-16
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,21,--,--,86,76,0.9,--,2024-02-16
Francavilla Francavilla al mare (CH),Accettabile,16,12,45,--,--,80,69,0.8,--,2024-02-16
Gammarana Teramo (TE),Accettabile,--,n.d.,54,--,--,--,--,--,--,2024-02-16
Montesilvano Montesilvano (PE),Accettabile,25,16,58,1.23,--,--,--,0.9,--,2024-02-16
Ortona Villa Caldari Ortona (CH),Accettabile,13,11,25,0.52,--,86,81,0.8,--,2024-02-16
Porta Reale Teramo (TE),Accettabile,30,--,85,1.07,--,--,--,1.3,--,2024-02-16
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,45,--,--,91,82,1.1,--,2024-02-16
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,98,92,0.0,415.5,2024-02-16
Scuola Antonelli Chieti Scalo (CH),Accettabile,20,15,71,--,1,85,73,1.2,--,2024-02-16
T. D'Annunzio Pescara (PE),Accettabile,25,19,58,0.95,0,71,59,0.3,--,2024-02-16
Via Amiternum L'Aquila (AQ),Accettabile,18,12,68,--,3,83,67,0.9,--,2024-02-16
Via Firenze Pescara (PE),Accettabile,22,16,82,0.70,--,--,--,0.5,--,2024-02-16
Via Sacco Pescara (PE),Accettabile,24,--,76,--,--,82,70,--,--,2024-02-16
Arischia L'Aquila (AQ),Accettabile,--,--,3,--,--,93,80,0.3,--,2024-02-15
Atessa Atessa (CH),Accettabile,22,--,--,0.69,--,--,--,0.1,--,2024-02-15
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,9,7,31,0.54,--,83,76,--,--,2024-02-15
Cepagatti ASL Cepagatti (PE),Buona,--,--,26,--,--,77,68,0.6,--,2024-02-15
Francavilla Francavilla al mare (CH),Accettabile,15,11,42,--,--,75,66,0.8,--,2024-02-15
Gammarana Teramo (TE),Accettabile,--,n.d.,53,--,--,--,--,--,--,2024-02-15
Montesilvano Montesilvano (PE),Accettabile,22,15,62,1.16,--,--,--,0.9,--,2024-02-15
Ortona Villa Caldari Ortona (CH),Accettabile,10,8,24,0.44,--,82,74,0.7,--,2024-02-15
Porta Reale Teramo (TE),Accettabile,28,--,69,0.93,--,--,--,1.3,--,2024-02-15
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,31,--,--,91,77,1.1,--,2024-02-15
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,88,82,0.1,415.2,2024-02-15
Scuola Antonelli Chieti Scalo (CH),Accettabile,17,12,63,--,1,81,65,1.3,--,2024-02-15
T. D'Annunzio Pescara (PE),Accettabile,26,18,63,0.88,0,66,56,0.3,--,2024-02-15
Via Amiternum L'Aquila (AQ),Accettabile,13,9,55,--,2,n.d.,n.d.,n.d.,--,2024-02-15
Via Firenze Pescara (PE),Accettabile,24,16,87,0.62,--,--,--,0.5,--,2024-02-15
Via Sacco Pescara (PE),Accettabile,19,--,76,--,--,75,65,--,--,2024-02-15
Arischia L'Aquila (AQ),Buona,--,--,4,--,--,80,74,0.3,--,2024-02-14
Atessa Atessa (CH),Buona,18,--,--,0.72,--,--,--,0.2,--,2024-02-14
Castel Di Sangro Castel Di Sangro (AQ),Buona,12,9,32,0.70,--,67,59,--,--,2024-02-14
Cepagatti ASL Cepagatti (PE),Buona,--,--,20,--,--,63,48,0.8,--,2024-02-14
Francavilla Francavilla al mare (CH),Accettabile,19,13,31,--,--,58,48,0.8,--,2024-02-14
Gammarana Teramo (TE),Accettabile,--,n.d.,47,--,--,--,--,--,--,2024-02-14
Montesilvano Montesilvano (PE),Accettabile,21,13,41,1.27,--,--,--,0.8,--,2024-02-14
Ortona Villa Caldari Ortona (CH),Accettabile,16,13,15,0.54,--,63,53,0.9,--,2024-02-14
Porta Reale Teramo (TE),Accettabile,28,--,68,0.96,--,--,--,1.4,--,2024-02-14
S. Gregorio S. GREGORIO (AQ),Buona,--,--,24,--,--,77,68,0.9,--,2024-02-14
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Buona,--,--,2,--,--,65,60,0.1,413.3,2024-02-14
Scuola Antonelli Chieti Scalo (CH),Accettabile,23,20,50,--,1,55,36,1.5,--,2024-02-14
T. D'Annunzio Pescara (PE),Accettabile,27,19,52,0.98,0,50,39,0.3,--,2024-02-14
Via Amiternum L'Aquila (AQ),Accettabile,13,8,48,--,2,n.d.,n.d.,0.7,--,2024-02-14
Via Firenze Pescara (PE),Accettabile,26,18,60,0.78,--,--,--,0.5,--,2024-02-14
Via Sacco Pescara (PE),Accettabile,24,--,51,--,--,59,45,--,--,2024-02-14
Arischia L'Aquila (AQ),Buona,--,--,4,--,--,77,72,0.3,--,2024-02-13
Atessa Atessa (CH),Buona,16,--,--,0.67,--,--,--,0.2,--,2024-02-13
Castel Di Sangro Castel Di Sangro (AQ),Buona,10,7,32,0.61,--,76,65,--,--,2024-02-13
Cepagatti ASL Cepagatti (PE),Buona,--,--,29,--,--,65,69,0.9,--,2024-02-13
Francavilla Francavilla al mare (CH),Buona,14,8,37,--,--,67,59,0.6,--,2024-02-13
Gammarana Teramo (TE),Accettabile,--,n.d.,45,--,--,--,--,--,--,2024-02-13
Montesilvano Montesilvano (PE),Mediocre,50,23,53,1.19,--,--,--,0.9,--,2024-02-13
Ortona Villa Caldari Ortona (CH),Buona,12,9,35,0.49,--,73,73,0.5,--,2024-02-13
Porta Reale Teramo (TE),Accettabile,23,--,72,n.d.,--,--,--,n.d.,--,2024-02-13
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,22,--,--,84,71,0.7,--,2024-02-13
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Buona,--,--,3,--,--,78,76,0.0,413.2,2024-02-13
Scuola Antonelli Chieti Scalo (CH),Accettabile,18,13,57,--,1,67,67,1.0,--,2024-02-13
T. D'Annunzio Pescara (PE),Accettabile,16,10,55,0.84,0,51,45,0.1,--,2024-02-13
Via Amiternum L'Aquila (AQ),Accettabile,11,7,44,--,2,n.d.,n.d.,0.6,--,2024-02-13
Via Firenze Pescara (PE),Accettabile,17,11,80,0.69,--,--,--,0.4,--,2024-02-13
Via Sacco Pescara (PE),Accettabile,17,--,70,--,--,64,52,--,--,2024-02-13
Arischia L'Aquila (AQ),Buona,--,--,2,--,--,78,75,0.3,--,2024-02-12
Atessa Atessa (CH),n.d.,n.d.,--,--,0.60,--,--,--,0.1,--,2024-02-12
Castel Di Sangro Castel Di Sangro (AQ),Buona,5,4,21,0.43,--,80,76,--,--,2024-02-12
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,5,--,--,82,77,0.2,--,2024-02-12
Francavilla Francavilla al mare (CH),Accettabile,7,4,30,--,--,84,77,0.3,--,2024-02-12
Gammarana Teramo (TE),Buona,--,6,n.d.,--,--,--,--,--,--,2024-02-12
Montesilvano Montesilvano (PE),Accettabile,16,10,45,1.15,--,--,--,0.6,--,2024-02-12
Ortona Villa Caldari Ortona (CH),Buona,5,5,15,0.35,--,78,73,0.3,--,2024-02-12
Porta Reale Teramo (TE),Accettabile,6,--,68,n.d.,--,--,--,0.6,--,2024-02-12
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,11,--,--,86,83,0.4,--,2024-02-12
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,0,--,--,89,86,0.0,393.8,2024-02-12
Scuola Antonelli Chieti Scalo (CH),Buona,3,1,21,--,2,77,74,0.3,--,2024-02-12
T. D'Annunzio Pescara (PE),Buona,9,4,27,0.57,1,80,75,0.1,--,2024-02-12
Via Amiternum L'Aquila (AQ),Buona,5,3,n.d.,--,2,n.d.,n.d.,0.3,--,2024-02-12
Via Firenze Pescara (PE),Accettabile,9,5,47,0.38,--,--,--,0.1,--,2024-02-12
Via Sacco Pescara (PE),Accettabile,11,--,40,--,--,84,81,--,--,2024-02-12
Arischia L'Aquila (AQ),Accettabile,--,--,3,--,--,90,82,0.3,--,2024-02-11
Atessa Atessa (CH),Accettabile,22,--,--,0.64,--,--,--,0.1,--,2024-02-11
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,28,9,10,0.40,--,82,82,--,--,2024-02-11
Cepagatti ASL Cepagatti (PE),Buona,--,--,25,--,--,73,77,0.8,--,2024-02-11
Francavilla Francavilla al mare (CH),Accettabile,28,13,10,--,--,74,70,0.3,--,2024-02-11
Gammarana Teramo (TE),Scadente,--,26,54,--,--,--,--,--,--,2024-02-11
Montesilvano Montesilvano (PE),Scadente,69,22,47,1.09,--,--,--,0.7,--,2024-02-11
Ortona Villa Caldari Ortona (CH),Accettabile,26,12,3,0.32,--,86,84,0.0,--,2024-02-11
Porta Reale Teramo (TE),Scadente,57,--,75,1.10,--,--,--,2.0,--,2024-02-11
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,26,--,--,87,90,0.7,--,2024-02-11
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,89,91,0.0,389.8,2024-02-11
Scuola Antonelli Chieti Scalo (CH),Accettabile,26,10,57,--,0,82,69,0.5,--,2024-02-11
T. D'Annunzio Pescara (PE),Accettabile,34,11,14,0.54,0,74,68,0.0,--,2024-02-11
Via Amiternum L'Aquila (AQ),Accettabile,35,15,40,--,2,n.d.,n.d.,0.5,--,2024-02-11
Via Firenze Pescara (PE),Accettabile,31,11,67,0.45,--,--,--,0.1,--,2024-02-11
Via Sacco Pescara (PE),Accettabile,33,--,53,--,--,77,69,--,--,2024-02-11
Arischia L'Aquila (AQ),Accettabile,--,--,3,--,--,93,88,0.2,--,2024-02-10
Atessa Atessa (CH),Mediocre,38,--,--,0.76,--,--,--,0.2,--,2024-02-10
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,19,9,16,0.41,--,90,82,--,--,2024-02-10
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,9,--,--,85,80,0.2,--,2024-02-10
Francavilla Francavilla al mare (CH),Accettabile,24,15,53,--,--,79,70,0.7,--,2024-02-10
Gammarana Teramo (TE),Mediocre,--,22,72,--,--,--,--,--,--,2024-02-10
Montesilvano Montesilvano (PE),Scadente,44,26,68,1.09,--,--,--,1.3,--,2024-02-10
Ortona Villa Caldari Ortona (CH),Accettabile,20,14,21,0.42,--,87,72,0.7,--,2024-02-10
Porta Reale Teramo (TE),Mediocre,37,--,84,n.d.,--,--,--,1.7,--,2024-02-10
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,50,--,--,95,90,0.9,--,2024-02-10
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,0,--,--,93,88,0.0,391.3,2024-02-10
Scuola Antonelli Chieti Scalo (CH),Accettabile,24,12,39,--,1,78,76,0.4,--,2024-02-10
T. D'Annunzio Pescara (PE),Accettabile,24,13,35,0.56,0,75,67,0.1,--,2024-02-10
Via Amiternum L'Aquila (AQ),Accettabile,24,12,51,--,2,88,79,0.4,--,2024-02-10
Via Firenze Pescara (PE),Accettabile,27,14,86,0.53,--,--,--,0.3,--,2024-02-10
Via Sacco Pescara (PE),Accettabile,34,--,64,--,--,86,80,--,--,2024-02-10
Arischia L'Aquila (AQ),Accettabile,--,--,3,--,--,86,84,0.3,--,2024-02-09
Atessa Atessa (CH),Accettabile,27,--,--,0.75,--,--,--,0.2,--,2024-02-09
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,17,11,31,0.58,--,84,77,--,--,2024-02-09
Cepagatti ASL Cepagatti (PE),Buona,--,--,26,--,--,78,68,0.6,--,2024-02-09
Francavilla Francavilla al mare (CH),Accettabile,27,20,32,--,--,77,68,1.0,--,2024-02-09
Gammarana Teramo (TE),Accettabile,--,15,66,--,--,--,--,--,--,2024-02-09
Montesilvano Montesilvano (PE),Mediocre,35,23,56,1.11,--,--,--,1.1,--,2024-02-09
Ortona Villa Caldari Ortona (CH),Accettabile,23,17,26,0.58,--,85,76,1.2,--,2024-02-09
Porta Reale Teramo (TE),Accettabile,27,--,83,n.d.,--,--,--,1.4,--,2024-02-09
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,32,--,--,90,87,0.9,--,2024-02-09
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,89,87,0.0,398.3,2024-02-09
Scuola Antonelli Chieti Scalo (CH),Mediocre,26,21,56,--,1,77,68,1.1,--,2024-02-09
T. D'Annunzio Pescara (PE),Scadente,35,26,53,1.08,0,68,51,0.3,--,2024-02-09
Via Amiternum L'Aquila (AQ),Accettabile,19,10,46,--,2,83,78,0.3,--,2024-02-09
Via Firenze Pescara (PE),Scadente,38,26,88,1.00,--,--,--,0.7,--,2024-02-09
Via Sacco Pescara (PE),Mediocre,48,--,82,--,--,74,67,--,--,2024-02-09
Arischia L'Aquila (AQ),Accettabile,--,--,8,--,--,97,90,0.3,--,2024-02-08
Atessa Atessa (CH),Accettabile,32,--,--,0.74,--,--,--,0.1,--,2024-02-08
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,20,12,38,0.54,--,86,78,--,--,2024-02-08
Cepagatti ASL Cepagatti (PE),Buona,--,--,23,--,--,78,69,1.0,--,2024-02-08
Francavilla Francavilla al mare (CH),Mediocre,33,25,42,--,--,72,57,1.2,--,2024-02-08
Gammarana Teramo (TE),Accettabile,--,14,58,--,--,--,--,--,--,2024-02-08
Montesilvano Montesilvano (PE),Mediocre,39,25,56,1.10,--,--,--,1.4,--,2024-02-08
Ortona Villa Caldari Ortona (CH),Mediocre,31,24,30,0.57,--,78,71,1.5,--,2024-02-08
Porta Reale Teramo (TE),Accettabile,27,--,72,n.d.,--,--,--,1.3,--,2024-02-08
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,45,--,--,99,89,1.0,--,2024-02-08
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,3,--,--,96,93,0.0,406.7,2024-02-08
Scuola Antonelli Chieti Scalo (CH),Scadente,47,37,61,--,2,78,53,1.8,--,2024-02-08
T. D'Annunzio Pescara (PE),Scadente,44,32,52,1.13,0,59,37,0.4,--,2024-02-08
Via Amiternum L'Aquila (AQ),Accettabile,18,10,49,--,2,90,82,0.5,--,2024-02-08
Via Firenze Pescara (PE),Scadente,47,33,90,1.04,--,--,--,1.0,--,2024-02-08
Via Sacco Pescara (PE),Scadente,54,--,81,--,--,73,47,--,--,2024-02-08
Arischia L'Aquila (AQ),Accettabile,--,--,5,--,--,86,80,0.3,--,2024-02-07
Atessa Atessa (CH),Accettabile,32,--,--,0.86,--,--,--,0.1,--,2024-02-07
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,20,12,23,0.47,--,76,71,--,--,2024-02-07
Cepagatti ASL Cepagatti (PE),Buona,--,--,29,--,--,76,70,1.0,--,2024-02-07
Francavilla Francavilla al mare (CH),Mediocre,31,25,42,--,--,69,52,1.3,--,2024-02-07
Gammarana Teramo (TE),Accettabile,--,13,56,--,--,--,--,--,--,2024-02-07
Montesilvano Montesilvano (PE),Scadente,37,26,61,1.11,--,--,--,1.5,--,2024-02-07
Ortona Villa Caldari Ortona (CH),Accettabile,24,18,35,0.59,--,n.d.,n.d.,1.1,--,2024-02-07
Porta Reale Teramo (TE),Accettabile,25,--,70,n.d.,--,--,--,1.2,--,2024-02-07
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,23,--,--,89,82,1.1,--,2024-02-07
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,6,--,--,85,79,0.1,406.0,2024-02-07
Scuola Antonelli Chieti Scalo (CH),Scadente,34,33,63,--,1,80,72,1.7,--,2024-02-07
T. D'Annunzio Pescara (PE),Scadente,42,33,58,1.13,0,56,42,0.4,--,2024-02-07
Via Amiternum L'Aquila (AQ),Accettabile,19,10,46,--,2,79,76,0.5,--,2024-02-07
Via Firenze Pescara (PE),Scadente,42,32,92,1.18,--,--,--,0.9,--,2024-02-07
Via Sacco Pescara (PE),Mediocre,47,--,83,--,--,71,53,--,--,2024-02-07
Arischia L'Aquila (AQ),Accettabile,--,--,8,--,--,85,75,0.3,--,2024-02-06
Atessa Atessa (CH),Mediocre,43,--,--,0.81,--,--,--,0.1,--,2024-02-06
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,20,15,23,0.58,--,74,68,--,--,2024-02-06
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,23,--,--,85,71,1.1,--,2024-02-06
Francavilla Francavilla al mare (CH),Scadente,32,29,45,--,--,79,55,1.4,--,2024-02-06
Gammarana Teramo (TE),Accettabile,--,18,60,--,--,--,--,--,--,2024-02-06
Montesilvano Montesilvano (PE),Mediocre,39,25,67,1.05,--,--,--,1.4,--,2024-02-06
Ortona Villa Caldari Ortona (CH),Mediocre,25,21,63,0.58,--,n.d.,n.d.,1.5,--,2024-02-06
Porta Reale Teramo (TE),Accettabile,32,--,81,0.99,--,--,--,n.d.,--,2024-02-06
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,29,--,--,90,77,1.0,--,2024-02-06
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,5,--,--,93,86,0.0,416.3,2024-02-06
Scuola Antonelli Chieti Scalo (CH),Scadente,40,33,72,--,1,81,55,1.9,--,2024-02-06
T. D'Annunzio Pescara (PE),Scadente,45,37,61,1.03,0,62,47,0.5,--,2024-02-06
Via Amiternum L'Aquila (AQ),Accettabile,20,12,46,--,3,78,68,0.6,--,2024-02-06
Via Firenze Pescara (PE),Scadente,45,36,101,1.10,--,--,--,1.1,--,2024-02-06
Via Sacco Pescara (PE),Scadente,51,--,87,--,--,81,61,--,--,2024-02-06
Arischia L'Aquila (AQ),Accettabile,--,--,7,--,--,83,79,0.3,--,2024-02-05
Atessa Atessa (CH),Accettabile,23,--,--,0.68,--,--,--,0.1,--,2024-02-05
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,22,17,36,0.90,--,80,72,--,--,2024-02-05
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,17,--,--,88,80,1.0,--,2024-02-05
Francavilla Francavilla al mare (CH),Mediocre,25,22,45,--,--,80,67,1.3,--,2024-02-05
Gammarana Teramo (TE),Accettabile,--,15,53,--,--,--,--,--,--,2024-02-05
Montesilvano Montesilvano (PE),Mediocre,26,21,69,0.99,--,--,--,1.3,--,2024-02-05
Ortona Villa Caldari Ortona (CH),Accettabile,18,16,26,0.42,--,n.d.,n.d.,1.2,--,2024-02-05
Porta Reale Teramo (TE),Accettabile,22,--,n.d.,1.01,--,--,--,n.d.,--,2024-02-05
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,25,--,--,90,83,1.2,--,2024-02-05
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,2,--,--,90,83,0.0,411.9,2024-02-05
Scuola Antonelli Chieti Scalo (CH),Scadente,30,26,60,--,1,89,73,1.8,--,2024-02-05
T. D'Annunzio Pescara (PE),Scadente,38,31,60,1.06,1,69,57,0.5,--,2024-02-05
Via Amiternum L'Aquila (AQ),Accettabile,16,11,46,--,2,81,75,0.6,--,2024-02-05
Via Firenze Pescara (PE),Scadente,38,30,105,1.00,--,--,--,0.9,--,2024-02-05
Via Sacco Pescara (PE),Mediocre,41,--,83,--,--,86,65,--,--,2024-02-05
Arischia L'Aquila (AQ),Accettabile,--,--,12,--,--,86,76,0.4,--,2024-02-04
Atessa Atessa (CH),Buona,18,--,--,0.66,--,--,--,0.1,--,2024-02-04
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,23,19,54,0.84,--,78,68,--,--,2024-02-04
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,15,--,--,86,77,0.7,--,2024-02-04
Francavilla Francavilla al mare (CH),Accettabile,19,16,33,--,--,70,57,1.1,--,2024-02-04
Gammarana Teramo (TE),Accettabile,--,11,63,--,--,--,--,--,--,2024-02-04
Montesilvano Montesilvano (PE),Accettabile,25,17,58,1.07,--,--,--,1.2,--,2024-02-04
Ortona Villa Caldari Ortona (CH),Buona,9,8,13,0.63,--,n.d.,n.d.,0.8,--,2024-02-04
Porta Reale Teramo (TE),Accettabile,27,--,79,1.02,--,--,--,n.d.,--,2024-02-04
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,32,--,--,86,80,1.4,--,2024-02-04
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,1,--,--,83,73,0.0,411.2,2024-02-04
Scuola Antonelli Chieti Scalo (CH),Accettabile,23,16,62,--,1,86,71,1.4,--,2024-02-04
T. D'Annunzio Pescara (PE),Mediocre,28,21,67,0.91,1,63,50,0.4,--,2024-02-04
Via Amiternum L'Aquila (AQ),Accettabile,19,14,53,--,2,80,67,1.0,--,2024-02-04
Via Firenze Pescara (PE),Accettabile,25,19,89,0.96,--,--,--,0.7,--,2024-02-04
Via Sacco Pescara (PE),Accettabile,32,--,76,--,--,78,61,--,--,2024-02-04
Arischia L'Aquila (AQ),Accettabile,--,--,7,--,--,88,81,0.4,--,2024-02-03
Atessa Atessa (CH),Accettabile,30,--,--,0.69,--,--,--,0.2,--,2024-02-03
Castel Di Sangro Castel Di Sangro (AQ),Accettabile,16,14,33,0.78,--,81,76,--,--,2024-02-03
Cepagatti ASL Cepagatti (PE),Accettabile,--,--,52,--,--,75,64,1.1,--,2024-02-03
Francavilla Francavilla al mare (CH),Scadente,37,32,58,--,--,63,47,1.5,--,2024-02-03
Gammarana Teramo (TE),Accettabile,--,20,63,--,--,--,--,--,--,2024-02-03
Montesilvano Montesilvano (PE),Scadente,44,33,71,1.06,--,--,--,1.6,--,2024-02-03
Ortona Villa Caldari Ortona (CH),Scadente,31,29,42,0.62,--,81,75,3.8,--,2024-02-03
Porta Reale Teramo (TE),Accettabile,32,--,75,0.98,--,--,--,n.d.,--,2024-02-03
S. Gregorio S. GREGORIO (AQ),Accettabile,--,--,36,--,--,90,79,1.7,--,2024-02-03
Sant'Eufemia a Maiella P.N.M S.Eufemia a Maiella (PE),Accettabile,--,--,3,--,--,85,82,0.2,418.9,2024-02-03
Scuola Antonelli Chieti Scalo (CH),Scadente,38,32,72,--,2,76,61,1.9,--,2024-02-03
T. D'Annunzio Pescara (PE),Scadente,50,38,65,0.94,1,58,35,0.5,--,2024-02-03
Via Amiternum L'Aquila (AQ),Accettabile,26,19,66,--,3,80,66,1.2,--,2024-02-03
